名称,价格,简介,元素,难度,时长,人员配置,人员,,,,,,,,,
血染钟楼（染·钟楼谜团）,￥25,“在一个月黑风高的夜晚，镇子的钟楼上，一声惨叫响起，我们的说书人被发现吊死了，大量镇民聚集，等待他们的是——血染钟楼。”,"['桌面', '其它', '其它', '开放', '盒装']",新手,4,5男5女,5月20日,,,,,,,,,
青楼2,￥78,“长安有一间名叫玉满楼的青楼，是无数大臣小相、富家公子、贤人雅士都流连忘返之地。当年发生了一些事，使其常年生意暗淡，直到历经了数十年才得以恢复昔日光彩。如今，玉满楼已焕然一新，那些陈年往事早已被人遗忘……”,"['桌面', '古风', '机制', '阵营', '还原', '本格', '盒装']",进阶,4,4男3女,7,,,,,,,,,
纸妻,￥39.90,娃娃的眼睛似蜜，治百病，要不要尝一口......专注于恐怖本的葵花工作室发行的《纸妻》，可以说是开店必备，沉迷于恐怖元素的新老玩家可以闭眼入坑。经典的民国背景、凄厉的歌声、破落而散发着鬼气的老宅都在告诉你，这里发生过惨绝人寰的故事。《纸妻》在有限的条件下将氛围拉到满级，恐怖而硬核，胆小勿入！,"['桌面', '民国', '阵营', '恐怖', '开放', '还原', '变格', '盒装']",进阶,3.5,4男3女,7,,,,,,,,,
逢山遇鬼,￥39.90,多元素且都做的不错不是好人该死|是因为他们看到受到苦难的人|宁愿自己去承受。这是一个多元素、梦幻的治愈情感本|包含了微恐却又不失欢乐。开局俏皮可爱却不显幼稚的文字|加上欢乐的破冰小游戏|使你很快沉浸其中。简短细腻的剧情耐人寻味|画面感十足|恐怖冒险又升华了整体氛围。情感演绎和令人动容的故事更是迅速将你的心揪起。当最终的伤感别离来临|你将面对心中最深的那抹执念。愿我们都能努力做那个善良可爱的人。,"['桌面', '现代', '情感', '恐怖', '还原', '变格', '盒装']",新手,5,3男4女,7,,,,,,,,,
青楼,￥39.90,“我今儿逛青楼，不听曲儿，就是玩儿！“天下第一青楼，玉满楼的姑娘从来都是卖艺不卖身，今晚却破了这儿规矩！姑娘拍卖会上，公子们可为了争夺花魁，撕破了脸。姑娘的才艺表演、公子们的喝酒听曲儿，还原了青楼的纸醉金迷。口述搜证、魔石寻凶、寻宝打斗等新颖机制，一刻都停不下里。各位客官，来《青楼》听听曲儿吧。,"['桌面', '古风', '机制', '阵营', '开放', '本格', '盒装']",进阶,5,4男3女,7,,,,,,,,,
红夷海乱,￥138,热血海战新颖机制“我的仙之助号，从来都是为你而来。”这里的每个人都有各自独特的热血和浪漫。棋牌与跑团机制的结合，每个人的体验又各不相同。但一样的是都能感受到一场声势浩大的海战一触即发，仿佛浪花和呐喊正环绕四周一般，身躯不自觉随浪潮起伏。阵营的高度自由，每个人的艰难抉择，都使得决战前的局势更不明朗，四处暗流涌动。\n为了我们的大明，为了收复我们的宝岛台湾，冲呀！,"['桌面', '古风', '架空', '机制', '情感', '开放', '还原', '变格', '城限']",进阶,5,4男3女,7,,,,,,,,,
蜇蜂之死,￥68,“两个月前，一部名为《鸢尾凋零之冬》的小说出现在首尔日报社建立的网络平台上，这是一篇以真实案件为故事背景创作的悬疑类短篇连载小说，讲述的是15年前发生在加平郡的一系列连环凶杀案，那是一桩至今仍未解决的悬案。”,"['桌面', '架空', '现代', '推理', '情感', '开放', '盒装']",烧脑,6,4男3女,7,,,,,,,,,
小兔儿乖乖,￥29,“想要我的宝藏吗，我将它全部藏在多乐森林了，快来寻找吧！”,"['桌面', '现代', '情感', '立意', '本格', '盒装']",新手,4,3男4女,7,,,,,,,,,
刺探,￥78,“大唐龙朔三年，在白村江之战中以少胜多，大破扶桑军队。”,"['桌面', '古风', '阵营', '开放', '本格', '盒装']",进阶,4,5男2女,7,,,,,,,,,
壬辰倭乱,￥148,"“建一座城，守一方地，只愿得一人心。”
","['桌面', '古风', '架空', '机制', '情感', '开放', '还原', '变格', '城限']",进阶,6,4男3女,7,,,,,,,,,
谍影·瞒天过海,￥88,“1947年，上海商会会长陆定丘受国民党保密局之托计划运输一批重要物资前往台湾。”,"['桌面', '民国', '阵营', '谍战', '本格', '盒装']",进阶,5,4男3女,7,,,,,,,,,
镖师,￥158,“镖师入门有三叩，你们知道吗？一叩祖师爷，二叩师傅，三叩天地。”,"['桌面', '民国', '机制', '情感', '还原', '本格', '城限']",进阶,5,4男3女,7,,,,,,,,,
漆昼之瓮,￥68,"“人死后是会是上天堂的，因为人间就是地狱。”
","['桌面', '现代', '推理', '还原', '本格', '盒装']",进阶,4,4男3女,7,,,,,,,,,
记忆碎片,￥59,“你们死了”但是必须找到你们的死因，才能上天堂。行业探索者TAKU作品，开创了没有剧本的推理模式，玩家们只能通过线索来找到自己的身份，再推出自己的死因，即使是在行业飞速发展的今天，也同样是能让人眼前一亮的精品剧本。在体验过程中不会因为没有剧本而显得故事单薄，反而玩家摆脱了剧本所带来的惯性思维，能够更自由更发散的去寻找自己的身份和死因，而且角色的身份里还隐藏了小小的彩蛋哦。,"['桌面', '现代', '欢乐', '开放', '变格', '盒装']",新手,3,4男3女,7,,,,,,,,,
第二十二条校规,￥39.90,比死还恐怖的是违反校规。《第二十二条校规》是一部校园题材的恐怖剧本，它阐述的就是你自以为不起眼的小“恶”所造成的大“恶”。它最出彩的点就在于读本时慢慢蔓延而出的来自每个人内心的恐惧感，令人头皮发麻、背脊生凉。对于胆小的小伙伴来说，快速指凶是最紧急的，但是在你以为故事完结的瞬间，又要进行一个足以让你尖叫的“笔仙”仪式，极其磨人。系列作《校规2》也紧跟步伐，热度飞涨，这个系列胆大的勇士可别错过。,"['桌面', '现代', '恐怖', '封闭', '变格', '盒装']",新手,4,4男3女,7,,,,,,,,,
漓川怪谈簿,￥35,“我害怕鬼，但鬼未伤我分毫。”这是一个集趣味日式怪谈和硬核推理为一体的剧本，有着一些可爱不懂人情世故的小妖怪们。故事丰富有趣，人物塑造得十分鲜活生动。令人拍案叫绝的是视角转换的机制，从另一个视角看曾经发生过的事，让你感觉出乎意料、哭笑不得。后面的反转又让你充满了惊喜感。妖怪们虽然外表可怕，但内心却十分温柔，治愈着你的心灵。,"['桌面', '日式', '架空', '推理', '开放', '还原', '变格', '盒装']",进阶,5,3男4女,7,,,,,,,,,
孤城,￥39.90,这把98k我要了！《孤城》作为一个民国背景的阵营机制本，最大的亮点就是能骗，整场游戏下来就一个感觉——这是个老骗子俱乐部啊。尔虞我诈的猜身份、明争暗斗的拍卖、只有一个人能走出孤城客栈的吃鸡环节，共同撑起了这充满激情与谎言的四个小时，到最后我也不知道到底谁是我真正的队友，我只知道我有98k能让我活着走出客栈就够了。随机凶手的推理环节充满了趣味性，增加了不确定性，并且和之后的机制结合得很好，所有人都带着目的去盘凶，凶手已经不重要了，重要的是你带着什么任务来的！,"['桌面', '民国', '机制', '阵营', '本格', '盒装']",进阶,5,4男3女,7,,,,,,,,,
市井狂人,￥50,在这小小市井之中，又会有怎样的奇人轶事呢？在看到每个人物名字的时候你可能就能感受到这个剧本的无厘头趣味了。剧本融合了大量的谐音梗和潮流热点，将浓浓的市井气息融入整体欢乐背景之中。玩家间的交互形式设计巧妙，能使得众人在激烈讨论下触发不同爆笑支线的体验，将整体氛围再次提升。无论是天马行空的设计，脑洞大开的手法，还是奇思妙想的架构，都能带给你满满的体验感。市井的烟火气息，才是人间风味。,"['桌面', '现代', '机制', '欢乐', '本格', '盒装']",新手,5,5男2女,7,,,,,,,,,
死者在幻夜中醒来,￥48,“河流上，漂浮着许多载着烛光的纸船，在一片波浪中，摇曳成一片星星点点。”,"['桌面', '日式', '架空', '推理', '恐怖', '开放', '还原', '变格', '盒装']",烧脑,6,4男3女,7,,,,,,,,,
兵临城下2：你好，新天津,￥59,“这是最好的时代|也是最坏的时代。”《兵临城下2》讲述的是天津解放时期的故事。前期的破冰环节一直到最后那一刻|都会让你真实的成为故事中的那个人。作者的文字并没有把剧本中的情感强加在玩家身上|反而把身处那个战火纷飞的年代|面临选择时的无奈表现的淋漓精致。丰满的人物和贯穿全局的情感铺垫使得沉浸环节更加深入人心|玩到最后热泪盈眶时才终于明白了那句“哪有什么岁月静好|不过是有人为了我们负重前行。”,"['桌面', '情感', '立意', '开放', '盒装']",进阶,4,4男4女,8,,,,,,,,,
将至2,￥158,"“少侠,您出道已久,想必已听过很多,经历很多。您或许在息然草原上驰骋过,也曾在江南一水阁见证过,亦或者在京都大战中参与过…………您死过,生过,无悔过。然而,乾朝景华十年的故事终究有些旧了,我们需要一段新的江湖旅程了。”","['桌面', '古风', '机制', '阵营', '武侠', '本格', '城限']",进阶,5,4男4女,8,,,,,,,,,
至暗时刻,￥68,“一场会议，几方交锋。至暗时刻，风谲云诡。正义，邪恶，利益，信仰……当理智为疯狂加冕，浸染着鲜血的故土已然斑驳泥泞，良知也被欲望蚕食殆尽，只剩肮脏。”,"['桌面', '架空', '机制', '阵营', '开放', '盒装']",进阶,6,5男3女,8,,,,,,,,,
刺秦,￥58,"“好似群魔堂上舞，凡人哪辩忠和奸。”剧本一开始就呈现了一幅秦王统一前,朝堂内群魔乱舞的可笑画面。上朝机制新颖有趣，但请小心，你的抉择将是秦王对你的考验。游戏设计围绕了“秦王绕柱，拔剑不出”的历史典故，每走一步都至关重要。这场心理博弈战，兵法布局行军打仗，最后的大赢家又会是谁？","['桌面', '阵营', '欢乐', '开放', '盒装']",进阶,4,5男4女,8月9日,,,,,,,,,
宝格丽之夜,￥39.90,“你我本无缘，全靠你有钱。”推理？投凶？盘逻辑？比起这个，想办法捞钱，擦亮眼睛找到真正的高富帅，钓上金龟婿才是王道！你要做的，就是游走在名媛贵少之间，玩转这场人心与物欲的海天盛筵。《宝格丽之夜》气氛欢乐搞笑，男女之间的互动别开生面，简直是一场活灵活现的大型相亲现场。约上几个好友来一场名媛争夺赛吧，记得把暧昧中的那个TA带上！,"['桌面', '现代', '机制', '欢乐', '还原', '本格', '盒装']",新手,3.5,4男4女,8,,,,,,,,,
我们都将死于29岁,￥138,不固定死者，不固定凶手。“很多人29岁就死了，80岁才埋。”你玩过不固定凶案的恐怖本吗？凶案现场由你们自己制造，死者也就在你们当中。不固定凶手，不固定死者。死亡的人真实“死亡”，需要立刻离开房间。本作精妙新颖的设定，高自由度的机制，将给你带来充足的发挥空间，你的情绪也将随着剧情推进愈发高涨。最后的惊悚演绎呈现在你面前时，更是将你的情绪推至高潮。这里是你的终点，也是开始，你做好准备了吗？,"['桌面', '现代', '机制', '情感', '本格', '城限']",进阶,5,4男4女,8,,,,,,,,,
林家宅2鬼谈,￥39.90,“在月牙村的村口前立有一块石碑，上面只刻了两行大字，每晚亥时至子时，不得出门。每到晚上八点左右，月牙村的灯火全熄，门窗紧闭，静悄悄的仿佛像无人的荒村一般，究竟是什么让他们如此这般？”,"['桌面', '现代', '欢乐', '恐怖', '本格', '盒装']",进阶,5,5男3女,8,,,,,,,,,
催婚,￥59,“听上一辈人说，那时候结婚，就是两个人、一辆自行车、一顿酒席，还有七姑八姨、亲戚朋友送来的物件。脸盆、手电、被子，还有好多祝福……”,"['桌面', '现代', '机制', '阵营', '本格', '盒装']",进阶,4,4男4女,8,,,,,,,,,
点名,￥78,“某天，社团按人头定制的物品，全都少了一份……活动室内开始弥漫起未知的恶臭……明明是夏末，天气却反常得犹如寒冬……蛆虫凭白涌现……社团内的一切开始乱套。”,"['桌面', '日式', '现代', '校园', '恐怖', '还原', '变格', '盒装']",进阶,4,4男4女,8,,,,,,,,,
遗产,￥59,“一入豪门深似海。”《遗产》就是一个关于“豪门”的故事。在这里你要做的事情就是保护好自己身边的人，尽可能多的挖掘到其他家庭的黑料，争夺这份遗产。无限欢乐的剧情，每一次发言都是互相“欺骗”。在这里，把自己的快乐建立在别人的“痛苦”之上就对了，让你真实地体验一把电视剧里的“狗血”。,"['桌面', '现代', '机制', '欢乐', '本格', '盒装']",进阶,4,4男4女,8,,,,,,,,,
良辰吉日,￥68,“良辰吉时已到|新郎新娘拜堂！一拜天地|二拜高堂|夫妻对拜|送入洞房！”被誉为2018年最富盛名的古风惊悚大作|《良辰吉日》恐怖与演绎集一身。你将沉浸在武府欢天喜地的结婚气氛|破败腐朽的阴谋之中。剧情兼具了反转与惊悚|当所有的谜全部解开时|还会带给你带来细思极恐的感觉|甚是微妙。九月初三|大喜的日子|有的人死了他还活着......,"['桌面', '古风', '武侠', '恐怖', '还原', '变格', '盒装']",进阶,5,5男3女,8,,,,,,,,,
一枝红杏,￥58,本是满满风雅气息的诗会，为何开始撕破了脸皮？《一枝红杏》是一个可欢乐、可撕比、可相亲等多元素的剧本。新颖的阵营机制更是让人直呼过瘾。不同的阵营组合能够产生不一样的组合技能，剧情的走向可能完全出乎你的意料。临近结尾，CP之间的矛盾逐渐露出头角。本是相依为命的两人，却撕得那叫一个心狠手辣、撕心裂肺。戏精和欢乐选手，诗会已经准备开始，还不来吟“诗”作“对”吗？,"['桌面', '古风', '阵营', '欢乐', '开放', '还原', '本格', '盒装']",进阶,5,4男4女,8,,,,,,,,,
反对无效,￥58,你想感受庭审的魅力吗？《反对无效》是一个6-10人的推理本。剧本形式很新颖，它还原了香港法庭的场景，让你们以控方、辩方和陪审团的角度去参与一场庭审，给你一种崭新的体验。在这个机制里面你需要通过线索整理逻辑，难度大大提升，让人感觉刺激上瘾！玩家还可以传召证人，而证人说的也不一定是正确的。谁才是真凶？我们庭审见！,"['桌面', '架空', '现代', '机制', '推理', '还原', '本格', '盒装']",烧脑,5,6男4女,6月10日,,,,,,,,,
Mojito,￥78,"“八个来自不同世界的，原本不会有任何交集的人，
互不认识却机缘巧合的来到这间酒吧。
故事，就从一杯莫吉托开始......”","['桌面', '现代', '机制', '情感', '还原', '本格', '盒装']",进阶,3.5,4男4女,8,,,,,,,,,
谍影·南京风沙,￥59,“风雨欲来，明争暗斗，南京保密局总部里，一场特工间谍之间的对决一触即发，只有胜者，才握有书写历史的机会。”,"['桌面', '民国', '阵营', '谍战', '还原', '本格', '盒装']",进阶,5.5,5男3女,8,,,,,,,,,
想要成为RapStar吗,￥59,你会freestyle吗？作者将说唱元素把握得恰到好处，既让大家能够享受到说唱的过程，又不会设立门槛，达成了平衡。在其中又加入了许多小游戏并配上了道具，场面陡然变成气氛组现场，躁到不行。剧本中甚至还有专业的rapper参与创作的歌词，更显得诚意满满。所以，你想要成为RapStar吗？,"['桌面', '现代', '机制', '欢乐', '本格', '盒装']",新手,3.5,4男4女,8,,,,,,,,,
狂暴日,￥158,“秩序城迎来了五年一度的“狂暴日”。”,"['桌面', '架空', '机制', '阵营', '半封闭', '本格', '城限']",进阶,4.5,5男3女,8,,,,,,,,,
黑子迷局2·无光诡局,￥68,新手进阶机制阵营硬核本，再配几个反转，还是蛮不错的,"['桌面', '现代', '机制', '推理', '本格', '盒装']",进阶,6,4男4女,8,,,,,,,,,
家宴2：继承者们,￥78,"“百因必有果，下个暴富就是我！”
","['桌面', '现代', '机制', '欢乐', '开放', '还原', '本格', '盒装']",进阶,4,5男4女,9,,,,,,,,,
恭喜发财,￥58,"“一股浓浓的港风味道袭来，角色称呼或是武林门派，无一不让人仿佛穿越回90年代港风武打片一般。
”","['桌面', '现代', '机制', '武侠', '还原', '本格', '盒装']",进阶,4.5,4男5女,9,,,,,,,,,
将至,￥158,"“中秋月圆，一水隔天，乾朝的天策上将军将成即将迎战一水阁大都督尧！
这场惊世之战的消息传开，立马吸引了天下的目光。
自大乾朝隆丰帝换作了景华帝，江湖上关于“天下第一”的讨论就没有停止过。”","['桌面', '古风', '机制', '阵营', '开放', '还原', '本格', '城限']",进阶,4.5,5男4女,9,,,,,,,,,
七号教学楼,￥59,“深夜的景逸学院格外安静，直到一声沉重的坠落声，打破了学校的宁静。学生之间窃窃私语，某位老师从四号教学楼跳了下来，然而学校消息封锁严密，死者是男是女、姓甚名谁无人知晓。”,"['桌面', '机制', '恐怖', '开放', '封闭', '盒装']",进阶,4,4男5女,9,,,,,,,,,
出轨,￥59,《出轨》有三种人：爱自己也爱别人、爱自己不爱别人、不爱自己也不爱别人。剧本中的人物关系错综复杂，夫妻互撕，正妻撕小三，这样的情况比比皆是。你以为你在出轨，可能你才是被出轨的那个人。在推理环节中，荒诞的手法也同样让你捧腹大笑。当你认真地盘，ta却开心地捂嘴偷笑，真是让人捉摸不透！温馨提示：未满18岁禁入！恩爱情侣慎入！?,"['桌面', '现代', '欢乐', '本格', '盒装']",烧脑,3,5男4女,9,,,,,,,,,
上仙请就位,￥68,“这里是属于梦想的舞台这里是满载欢乐的天堂无论你是会唱、跳、RAP、篮球的艺能人还是身怀绝技、修为超凡的大佬修士亦或是只是怀揣梦想的吃瓜群众 《上仙，请就位！》舞台的大门都永远向你敞开不分地域!不分年龄!不分职业!仙界大舞台！够胆你就来！”,"['桌面', '古风', '架空', '机制', '阵营', '开放', '还原', '新本格', '盒装']",新手,4,5男4女,9,,,,,,,,,
宫中二三言,￥68,“天喵末年，末代喵皇昏庸无道，以至民不聊生，各地义军揭竿而起。经过多年战乱，最终由天犬将军周大福终结战乱，并建立大狗王朝年号大狗。”,"['桌面', '古风', '架空', '阵营', '欢乐', '还原', '盒装']",新手,4,6男3女,7月9日,,,,,,,,,
狗咬狗,￥68,全员狗子“在狗狗届，也会有社会大哥吗？”连任三年话事狗的洪狗会传奇教父——洪逼格，帮会权利的象征——狗头棍，接连离奇失踪。各堂口的大哥连夜齐聚在一处旧仓库里召开洪狗会大会，意外的是两位警犬不请自来，故事就此拉开帷幕。本作幽默诙谐的剧情，当你在翻开剧本时便忍不住笑出声音，激情欢乐的破冰环节，瞬间让你沉浸到故事当中，精妙新奇的机制，给你带来惊心动魄的博弈对抗。一起来体验一次可爱狗狗的黑道风云吧！,"['桌面', '现代', '机制', '欢乐', '本格', '盒装']",进阶,4,6男3女,9,,,,,,,,,
三十三,￥138,"""无限制人数??《三十三》这部作品的故事并不复杂，却带给玩家新奇的思维碰撞体验。全文言简意赅的文笔以及精妙绝伦的反转，会带你领略全新的剧本杀盘本模式。　在本作品里，你可以畅谈一切对事物的看法与理解：小到工作日常，大到宇宙起源，相信你会沉浸在笔者建立的新精神世界里，通过思想的桥梁，驶向无尽的远方……""","['桌面', '科幻', '推理', '还原', '本格', '城限']",进阶,4,4男5女,9,,,,,,,,,
拱墅驾校,￥68,“暑期大酬宾！！！暑期没事做 考个驾照吧！结交新朋友 考个驾照吧！一证解千愁 烦恼不再有！驾校选拱墅 明天就上路！连年通过率高达100%?暑期大酬宾正在进行中?不要5888不要2288只要588！预售前五百名报名立减120元！”,"['桌面', '现代', '机制', '欢乐', '本格', '盒装']",新手,4,5男4女,9,,,,,,,,,
我若为王,￥98,“当战争的号角在洛切斯大陆响起，英雄的传说在黎明闪耀。”,"['桌面', '欧式', '机制', '阵营', '开放', '本格', '城限']",新手,2,5男4女,9,,,,,,,,,
早安，打工人,￥68,“打工人，打工魂，打工都是人上人！我们要悄悄地打工，然后惊艳所有人！人心中要有信念，没有困难的工作，只有勇敢的打工人！累吗？”,"['桌面', '现代', '机制', '阵营', '开放', '盒装']",新手,3.5,5男5女,8月10日,,,,,,,,,
诡影谍踪,￥68,“生死无惧，唯爱难择。”《诡影谍踪》以民国抗战为题材，表达了战争时期家仇国恨的情感交加。剧本的故事内容中，各种笑点轮番轰炸，不脱离故事的同时，让你捧腹大笑。阵营的机制能让你化身老骗子，当你以为你成功骗取了信任，但或许你才是那个被骗的“小傻瓜”。当故事逐渐走向结尾时，立意的升华又能让你脱离开篇的欢乐，恍然大悟。在这个动乱的年代里，我们终究还是选择了明哲保身。,"['桌面', '民国', '阵营', '欢乐', '本格', '盒装']",进阶,5,5男4女,9,,,,,,,,,
大人请笑纳,￥108,还原古代官场中的明争暗斗“十年寒窗无人问，一朝中举天下知。”剧本巧妙的模拟了古代官场，将玩家都化身成其中的一员，身临其境般的感受这里的尔虞我诈、勾心斗角。剧情随着故事的不断发展，反转再反转，人物关系充满了伏笔。没有固定的阵营设计，给予了你更多的选择空间，每一次的变化都既是风险也是机会，你会选择相信你身边看似友善的“好人”吗。在这场暗流涌动的游戏中，运气固然重要，但是能不能混的风生水起，全靠大人您的手段和眼光了。,"['桌面', '古风', '阵营', '欢乐', '本格', '盒装']",新手,4,6男3女,9,,,,,,,,,
拆迁,￥39.90,哟！拆啦？！《拆迁》作为一个10人本，虽然不是史无前例也不会后无来者，但还是很少见的，作为罕见的高质量10人本，就更少见了。在《拆迁》之前，我真的没有想过，10个人撕起来会这么的壮观，10个人的笑声真的能掀翻房顶，更没有想过原来攥着一把房产证的感觉会如此舒爽。当然，因为角色较多的原因再加上要照顾到体量的问题，故事方面会比较单薄，但是丝毫不影响能从下午两点撕到晚上七点。这么欢乐这么能撕的本，当然是公司团建或者朋友聚会首选。,"['桌面', '现代', '欢乐', '本格', '盒装']",进阶,4,5男5女,10,,,,,,,,,
花田囍事,￥68,“你的心爱之人未必也一样爱你。”来到《花田喜事》，你就能看到一个发生在民国招亲大会上的故事。在这里，选出谁是真的“花家大小姐”是最重要的事情。所有玩家进行擂台比赛，一旦选定cp就可以收下聘礼一起买线索。但因为故事中的感情线错综复杂，最终的选择格外的难。你选择的人也会选择你吗？,"['桌面', '民国', '机制', '欢乐', '本格', '盒装']",进阶,4,5男5女,10,,,,,,,,,
尼克拉岛派对,￥88,“带上你的面具，派对即将开始啦。”《尼克拉岛派对》是一个机制本，欢乐主导整个剧本氛围。人设特殊有趣，在这里可以斗智斗勇，适合“脑洞大开”的戏精玩家。剧情虽然“离谱”但不失逻辑，还有很多隐藏机制需要你自己去探索、发现。玩到最后不禁感叹，这里简直就是一场大型的“凡尔赛派对”啊！,"['桌面', '现代', '机制', '欢乐', '本格', '盒装']",进阶,4,1男9女,10,,,,,,,,,
劫个婚,￥88,“想结个婚？——做梦！要劫个婚？——天真！N名宇宙最优质（残渣）单身男女，卷入N场温情（恶搞）迷局！然而、不过、但是，故事远不是狗血爱情那么简单……史前混乱，震撼开启！”,"['桌面', '现代', '阵营', '欢乐', '还原', '本格', '盒装']",进阶,4,5男5女,10,,,,,,,,,
重返15岁-高考,￥88,“那年夏天，天空格外的蓝，那年夏天，我们成为了一辈子的朋友，那年夏天，我们一起看书，一起做着关于未来的梦。今年暑假我们一起《重返15岁》的那年夏天！”,"['桌面', '现代', '机制', '校园', '开放', '本格', '盒装']",进阶,4.5,5男5女,10,,,,,,,,,
我要当大哥,￥66,“三年一届的帮主大选就要开始了，每个人都渴望着大哥的位置，本帮从不缺少“人才”，要想从中脱颖而出可不是件容易的事，仍记得那年刚入帮时心中的信念：我要当大哥！”,"['桌面', '现代', '机制', '欢乐', '开放', '本格', '盒装']",新手,4,5男5女,10,,,,,,,,,
望月·恶灵十三,￥109,美式恐怖兼容rpg跑团机制勇敢的勇士呀！前方的黑森林在等着你的探寻！作为同类别中少有的美式恐怖本，贯穿始终的rpg跑团机制和充分的开放度，使得你在这其中有更高的参与度和互动性。鲜血、少女、洋装，经典元素叠加之下的细节描写，更让你有身临其境之感，结局更能让你遐想万千。“既然整个世界包括神明都在祈祷着你的死亡，那就由真正的撒旦来祈福你的永生吧！,"['桌面', '现代', '恐怖', '本格', '城限']",进阶,4,5男5女,10,,,,,,,,,
社会,￥108,“?随着时间的推移，一群刚从黄埔军校毕业的孩子们，怀抱着报销祖国的热情纷纷进入了肮脏不堪的社会中磨炼……”,"['桌面', '民国', '机制', '阵营', '开放', '本格', '城限']",新手,5,5男5女,10,,,,,,,,,
林家宅一：迷雾重重,￥138,“在很久以前月牙村是一个与世隔绝的村子，传说村里居住着许多奇人异士。但是他们究竟是何人却无人知晓，后来人们传言只要到了月牙村，便可看到自己已过世的老伴或亲人，外人闻言相继赶来，只为再次见到过世之人…”,"['桌面', '现代', '推理', '变格', '城限']",进阶,4,6男4女,10,,,,,,,,,
O.R.M有钱人的博弈,￥128,“今天，一场关于有钱人们的博弈——O.R.M.联赢高峰论坛会在W国S市由两位世界富豪成大富和L博士的联手举办下进行，每一位与会者都带着至少1000万现金而来。一场决定S市未来经济命脉的峰会，将在今天举行......”,"['桌面', '现代', '机制', '阵营', '还原', '城限']",进阶,5,5男5女,10,,,,,,,,,
《门当who对》,￥108,“《门当who对》是一档全球最火爆的相亲节目，男女老少无不为节目里真挚的爱情痛哭流涕。”,"['桌面', '现代', '机制', '欢乐', '开放', '还原', '盒装']",新手,4,5男5女,10,,,,,,,,,
审判日,￥228,“一九四四年七月，世界笼罩在二战的阴云之下，纳粹德国的铁蹄踏遍了整个欧洲大陆。但是，由于希特勒惨绝人寰的暴行，越来越多的德国将领开始意识到，再这样下去，祖国将被战火笼罩，人民期望的和平也将不复存在。”,"['桌面', '欧式', '机制', '开放', '本格', '独家']",进阶,4.5,10男,10,,,,,,,,,
逐梦演艺圈,￥88,看到这个剧本名，有没有想起被豆瓣2.1分支配的恐惧?这个剧本的最大亮点在于，没有太多的边缘角色，基本所有的玩家都能参与到游戏中，推理难度适中，非常适合新手玩家聚会。?,"['桌面', '现代', '推理', '本格', '盒装']",新手,4,5男5女,10,,,,,,,,,
龙啸山庄,￥88,“新武林盟主大会上，各方势力汇聚于龙啸山庄。上届盟主龙玺的身上似乎有着正邪两派势力交错的秘辛，一场腥风血雨就此掀开。有道是“有情皆孽 无人不冤”，只要身在其中，谁有能躲得过命运作弄。临了不过，一曲离合悲欢，听也听不完罢…?”,"['桌面', '古风', '阵营', '本格', '盒装']",进阶,5,7男3女,10,,,,,,,,,
加官进爵,￥118,“九州中原经历百年的诸侯割据，终于被柴氏征服，实现了一统，建立大雍王朝。可宫墙内的血雨腥风却未曾断绝，三十年间朝堂几经易手，转眼已历经了五个帝王，换了三个朝代，争权夺势的残酷不啻于明刀明枪的战争。”,"['桌面', '古风', '机制', '阵营', '还原', '盒装']",新手,4.5,5男5女,10,,,,,,,,,
十三先生,￥78,“你真的可以拨开迷雾看到真相吗？”《十三先生》是一部超现实题材的剧本，带你体验平行时空的故事。在这里的战争，“思维”就是你最大的武器，剧本薄薄的几页涵盖了繁多的内容，上一秒觉得自己是天才下一秒又觉得自己是疯子。如果你是哲学题材爱好者或者热衷于破解密室杀人案，这里就是你的不二之选。,"['桌面', '架空', '机制', '推理', '开放', '还原', '盒装']",烧脑,5,5男5女,8月10日,,,,,,,,,
家法,￥88,“由两个剧本《家》、《法》组成，两本可以同开，特色机制，双边互动。多种单开同开组合，可以满足6至15人同时游戏，两边剧本均可二次游戏。《家》是温情情感沉浸本，《法》是机制刑侦硬核推理本，双本联动。”,"['桌面', '现代', '机制', '欢乐', '本格', '盒装']",烧脑,4.5,8男7女,6月15日,,,,,,,,,
一脸死相的三好,￥78,“欢迎来到民国时期|现在我们正在红浪漫歌舞厅…”跑团机制、互撕阵营、巧妙推理在这里你都能一次体验到。十人机制本满足了多人好友一起玩剧本杀的需求|并且尽管是十人本但是并没有边缘角色|每个人物都是取得游戏胜利的至关重要的一环。当然|在这里除了发挥脑洞斗智斗勇以外|运气也至关重要。你能巧妙的察觉隐藏在剧本中的重重疑点|还是被别人骗的团团转呢？快来《一脸死相的三好》体验吧。,"['桌面', '民国', '阵营', '欢乐', '开放', '本格', '盒装']",进阶,3.5,6男4女,10,,,,,,,,,
指导与守护,￥128,“你愿意和我一起共赴这场通灵之战吗？”《指导与守护》是一个机制本。剧本用通灵师作为素材，十个角色，每个人都有不同的属性。因为这种设定，所以这里没有边缘人物，每个人的技能都使用出来还会增加很多额外效果。在剧情的描述上作者也是别出心裁，最后立意的升华让人忍不住沉思：“每个生命都值得被守护。”,"['桌面', '玄幻', '变格', '城限']",新手,4,5男5女,10,,,,,,,,,
